IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,51,75,95,21,17
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,51,75,95,21,17
판매비와관리비,18,74,127,36,24
인건비,6,25,37,9,9
유무형자산상각비,4,10,13,4,3
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0,0,0,0
판매비,0,3,0,0,0
관리비,8,35,67,23,12
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,2,10,0,1
영업이익,32,1,-33,-15,-6
영업이익(발표기준),32,1,-33,-15,-6
금융수익,2,6,24,3,3
이자수익,2,6,5,0,3
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0,0.0,0.0
금융자산평가이익,0.0,0.0,11,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,1,0.0,0.0
기타금융수익,0.0,0.0,7,2,0.0
금융원가,12,14,81,3,3
이자비용,12,14,13,3,3
외환손실,0.0,0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0,1,0.0,0.0
금융자산평가손실,0.0,0.0,67,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0,2,1,0,0
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0,2,1,0,0
기타비용,0.0,2,7,0,0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,3,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,2,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,1,0.0,0.0
충당부채전입액,0.0,0.0,3,0.0,0.0
기타,0.0,0,0,0,0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,23,-7,-96,-15,-7
법인세비용,3,-2,-10,-0,-1
계속영업이익,20,-5,-85,-15,-6
중단영업이익,109,39,0.0,0.0,0.0
당기순이익,129,34,-85,-15,-6
지배주주순이익,129,34,-85,-15,-6
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
